game_id,datetime,phase,opening_acc,first_move,game_no
00e2dd5e3f9c43aabc240437ae0e78e2,2026-06-30 13:16:08+00:00,P4-autonomous-loop,82.425,e4,142
7b850d026c1342d4951374267e9f2950,2026-06-30 13:26:13+00:00,P4-autonomous-loop,88.25,e4,143
ea000ded93904544b293ccb8c158f7c4,2026-06-30 13:31:41+00:00,P4-autonomous-loop,93.4625,e4,144
773c12e2dd964ec5ad3c774f331967d8,2026-06-30 13:43:20+00:00,P4-autonomous-loop,90.6125,e4,145
6fd92274a89f40c9a675e4f671af87b9,2026-06-30 13:49:51+00:00,P4-autonomous-loop,93.4625,e4,146
39e88c6256874a5bbe3bec7a2395c456,2026-06-30 13:59:40+00:00,P4-autonomous-loop,76.9125,e4,147
fd76a1b136484ecebd6f2928cf55beec,2026-06-30 14:12:01+00:00,P4-autonomous-loop,81.925,e4,148
a3e57e901bd94673b974971d46b8aad4,2026-06-30 15:10:44+00:00,P4-autonomous-loop,95.3625,d4,149
aba2972063e24e77b642d94b3156f59e,2026-06-30 15:53:48+00:00,P4-autonomous-loop,92.4875,d4,150
61a8035b9edd48bcb110e222fea71102,2026-06-30 16:02:43+00:00,P4-autonomous-loop,94.8375,d4,151
0524f877fa034c399baf15040e58c71a,2026-06-30 16:24:24+00:00,P4-autonomous-loop,91.15,d4,152
06f02819965f4025a2aecd13b1871b1f,2026-06-30 16:42:38+00:00,P4-autonomous-loop,92.4875,d4,153
0b1e5e619f564bb9a90fe94a8684fd32,2026-06-30 16:49:07+00:00,P4-autonomous-loop,96.1375,d4,154
3baf10dbab4544eb8b59e6664bc05d7c,2026-06-30 17:01:17+00:00,P4-autonomous-loop,88.1375,d4,155
1426d68cf142483da381399fdd6b599e,2026-06-30 17:11:27+00:00,P4-autonomous-loop,97.2625,d4,156
75b0fe5b8c934774a31c11579f2a9833,2026-06-30 17:32:09+00:00,P4-autonomous-loop,90.3125,d4,157
f8a73e273b5e447c90ad33de8faa95af,2026-06-30 17:46:40+00:00,P4-autonomous-loop,86.7125,d4,158
